  R0   T0   rho0
1.433 1.200 113.684
1.500 1.200 36.053
1.500 1.200 51.579
1.500 1.200 67.105
1.500 1.200 82.632
1.100 0.800 36.053
1.100 0.800 51.579
1.100 0.800 67.105
1.100 0.800 82.632
1.100 0.800 98.158
1.100 0.800 113.684
1.100 0.800 129.211
1.100 0.800 144.737
1.100 0.800 160.263
1.100 0.800 175.789
1.100 0.800 191.316
1.100 0.800 206.842
1.100 0.800 222.368
1.100 0.800 237.895
1.100 0.800 253.421
1.100 0.800 268.947
1.100 0.800 284.474
1.100 0.800 300.000
1.100 0.875 36.053
1.100 0.875 51.579
1.100 0.875 67.105
1.100 0.875 82.632
1.100 0.875 98.158
1.100 0.875 113.684
1.100 0.875 129.211
1.100 0.875 144.737
1.100 0.875 160.263
1.100 0.875 175.789
1.100 0.875 191.316
1.100 0.875 206.842
1.100 0.875 222.368
1.100 0.875 237.895
1.100 0.875 253.421
1.100 0.875 268.947
1.100 0.875 284.474
1.100 0.875 300.000
1.100 0.950 36.053
1.100 0.950 51.579
1.100 0.950 67.105
1.100 0.950 82.632
1.100 0.950 98.158
1.100 0.950 113.684
1.100 0.950 129.211
1.100 0.950 144.737
1.100 0.950 160.263
1.100 0.950 175.789
1.100 0.950 191.316
1.100 0.950 206.842
1.100 0.950 222.368
1.100 0.950 237.895
1.100 0.950 253.421
1.100 0.950 268.947
1.100 0.950 284.474
1.100 0.950 300.000
1.100 1.025 51.579
1.100 1.025 67.105
1.100 1.025 82.632
1.100 1.025 98.158
1.100 1.025 113.684
1.100 1.025 129.211
1.100 1.025 144.737
1.100 1.025 160.263
1.100 1.025 175.789
1.100 1.025 191.316
1.100 1.025 206.842
1.100 1.025 222.368
1.100 1.025 237.895
1.100 1.025 253.421
1.100 1.025 268.947
1.100 1.025 284.474
1.100 1.025 300.000
1.100 1.100 51.579
1.100 1.100 67.105
1.100 1.100 82.632
1.100 1.100 98.158
1.100 1.100 113.684
1.100 1.100 129.211
1.100 1.100 144.737
1.100 1.100 160.263
1.100 1.100 175.789
1.100 1.100 191.316
1.100 1.100 206.842
1.100 1.100 222.368
1.100 1.100 237.895
1.100 1.100 253.421
1.100 1.100 268.947
1.100 1.100 284.474
1.100 1.100 300.000
